Entity,Code,Day,p_proj_all_ages
Antigua and Barbuda,ATG,2020-09-30,-14.285714
Antigua and Barbuda,ATG,2020-10-31,-11.504425
Antigua and Barbuda,ATG,2020-11-30,-7.020874
Antigua and Barbuda,ATG,2020-12-31,-20.159678
Antigua and Barbuda,ATG,2021-01-31,15.226341
Antigua and Barbuda,ATG,2021-02-28,18.881117
Antigua and Barbuda,ATG,2021-03-31,-10.714284
Antigua and Barbuda,ATG,2021-04-30,-1.9607843
Antigua and Barbuda,ATG,2021-05-31,-12.878787
Antigua and Barbuda,ATG,2021-06-30,-26.136362
Antigua and Barbuda,ATG,2021-07-31,12.70492
Antigua and Barbuda,ATG,2021-08-31,-22.697367
Antigua and Barbuda,ATG,2021-09-30,91.88192
Antigua and Barbuda,ATG,2021-10-31,-55.32646
Antigua and Barbuda,ATG,2021-11-30,17.647055
Antigua and Barbuda,ATG,2021-12-31,-24.710424
Argentina,ARG,2020-01-31,-2.5483584
Argentina,ARG,2020-02-29,2.207479
Argentina,ARG,2020-03-31,0.107127495
Argentina,ARG,2020-04-30,-4.060162
Argentina,ARG,2020-05-31,-8.494044
Argentina,ARG,2020-06-30,-14.645262
Argentina,ARG,2020-07-31,2.4107337
Argentina,ARG,2020-08-31,16.590187
Argentina,ARG,2020-09-30,38.29885
Argentina,ARG,2020-10-31,45.200935
Argentina,ARG,2020-11-30,36.25058
Argentina,ARG,2020-12-31,19.647243
Argentina,ARG,2021-01-31,30.919203
Argentina,ARG,2021-02-28,23.539612
Argentina,ARG,2021-03-31,23.143723
Argentina,ARG,2021-04-30,54.189365
Argentina,ARG,2021-05-31,75.47878
Argentina,ARG,2021-06-30,54.21879
Argentina,ARG,2021-07-31,27.638302
Argentina,ARG,2021-08-31,16.414333
Argentina,ARG,2021-09-30,0.50412637
Argentina,ARG,2021-10-31,3.0221117
Argentina,ARG,2021-11-30,6.4395494
Argentina,ARG,2021-12-31,11.287254
Argentina,ARG,2022-01-31,82.48035
Argentina,ARG,2022-02-28,42.404938
Argentina,ARG,2022-03-31,18.305534
Argentina,ARG,2022-04-30,15.503097
Argentina,ARG,2022-05-31,8.708576
Argentina,ARG,2022-06-30,6.6903725
Argentina,ARG,2022-07-31,4.243267
Argentina,ARG,2022-08-31,2.5370398
Argentina,ARG,2022-09-30,1.7397133
Argentina,ARG,2022-10-31,5.8808928
Argentina,ARG,2022-11-30,8.989195
Argentina,ARG,2022-12-31,15.147495
Argentina,ARG,2023-01-31,12.368058
Argentina,ARG,2023-02-28,3.8846877
Argentina,ARG,2023-03-31,8.220768
Argentina,ARG,2023-04-30,8.868785
Argentina,ARG,2023-05-31,1.9341145
Argentina,ARG,2023-06-30,-1.194646
Argentina,ARG,2023-07-31,-2.735811
Argentina,ARG,2023-08-31,-2.0752347
Argentina,ARG,2023-09-30,1.3207774
Argentina,ARG,2023-10-31,0.9987811
Argentina,ARG,2023-11-30,4.7616835
Argentina,ARG,2023-12-31,10.179194
Armenia,ARM,2020-01-31,-0.730883
Armenia,ARM,2020-02-29,8.733527
Armenia,ARM,2020-03-31,-0.8622515
Armenia,ARM,2020-04-30,3.7186728
Armenia,ARM,2020-05-31,-0.45912582
Armenia,ARM,2020-06-30,48.153885
Armenia,ARM,2020-07-31,35.28036
Armenia,ARM,2020-08-31,8.47283
Armenia,ARM,2020-09-30,22.28277
Armenia,ARM,2020-10-31,84.03851
Armenia,ARM,2020-11-30,178.60786
Armenia,ARM,2020-12-31,89.69313
Armenia,ARM,2021-01-31,18.682793
Armenia,ARM,2021-02-28,10.345454
Armenia,ARM,2021-03-31,25.447872
Armenia,ARM,2021-04-30,65.44425
Armenia,ARM,2021-05-31,27.475187
Armenia,ARM,2021-06-30,21.20891
Armenia,ARM,2021-07-31,14.485151
Armenia,ARM,2021-08-31,18.302273
Armenia,ARM,2021-09-30,57.700134
Armenia,ARM,2021-10-31,79.72278
Armenia,ARM,2021-11-30,115.0947
Armenia,ARM,2021-12-31,32.22012
Armenia,ARM,2022-01-31,7.409493
Armenia,ARM,2022-02-28,51.07276
Armenia,ARM,2022-03-31,21.035517
Armenia,ARM,2022-04-30,0.44350615
Armenia,ARM,2022-05-31,4.053119
Armenia,ARM,2022-06-30,2.0086863
Armenia,ARM,2022-07-31,-2.4224718
Armenia,ARM,2022-08-31,8.608555
Armenia,ARM,2022-09-30,29.8083
Armenia,ARM,2022-10-31,5.4816394
Armenia,ARM,2022-11-30,-1.2304189
Armenia,ARM,2022-12-31,-2.4028034
Armenia,ARM,2023-01-31,2.0783918
Armenia,ARM,2023-02-28,-1.9458245
Armenia,ARM,2023-03-31,2.4836142
Armenia,ARM,2023-04-30,0.7227672
Armenia,ARM,2023-05-31,0.7102993
Armenia,ARM,2023-06-30,-1.2146227
Armenia,ARM,2023-07-31,-4.0252624
Armenia,ARM,2023-08-31,18.67985
Armenia,ARM,2023-09-30,11.634606
